"","provinceShortName","confirmedCount","curedCount","deadCount"
"1","西藏","1","1","0"
"2","澳门","10","3","0"
"3","青海","18","11","0"
"4","台湾","18","2","0"
"5","香港","56","1","1"
"6","内蒙古","68","6","0"
"7","宁夏","70","27","0"
"8","新疆","70","6","1"
"9","吉林","88","25","1"
"10","甘肃","90","44","2"
"11","辽宁","119","29","1"
"12","天津","121","32","3"
"13","山西","127","42","0"
"14","贵州","143","40","1"
"15","海南","162","38","4"
"16","云南","168","42","0"
"17","陕西","232","56","0"
"18","广西","235","44","2"
"19","福建","285","67","0"
"20","河北","291","87","3"
"21","上海","326","124","1"
"22","北京","375","97","4"
"23","黑龙江","425","48","11"
"24","四川","470","118","1"
"25","山东","530","147","2"
"26","重庆","537","152","5"
"27","江苏","604","171","0"
"28","江西","913","210","1"
"29","安徽","950","213","6"
"30","湖南","1001","401","2"
"31","浙江","1162","417","0"
"32","河南","1212","378","13"
"33","广东","1294","395","2"
"34","湖北","54406","4774","1457"
